epoch,metric,value
1780471287,disk_pct,87
1780471287,mem_pct,61
1780506293,disk_pct,87
1780506293,mem_pct,65
1780680748,disk_pct,87
1780680748,mem_pct,72
1780683046,disk_pct,87
1780683046,mem_pct,71
1780713732,disk_pct,88
1780713732,mem_pct,73
1780718222,disk_pct,88
1780718222,mem_pct,73
1780754494,disk_pct,88
1780754494,mem_pct,72
1781436714,disk_pct,90
1781436714,mem_pct,67
1781598374,disk_pct,91
1781598374,mem_pct,69
1781616971,disk_pct,91
1781616971,mem_pct,68
1781628482,disk_pct,92
1781628482,mem_pct,68
1781635317,disk_pct,92
1781635317,mem_pct,67
1781637614,disk_pct,92
1781637614,mem_pct,67
1781639888,disk_pct,92
1781639888,mem_pct,68
1781642100,disk_pct,92
1781642100,mem_pct,67
1781651365,disk_pct,92
1781651365,mem_pct,67
1781665244,disk_pct,92
1781665244,mem_pct,67
1781669768,disk_pct,92
1781669768,mem_pct,68
1781672121,disk_pct,92
1781672121,mem_pct,67
1781681208,disk_pct,92
1781681208,mem_pct,68
1781688060,disk_pct,93
1781688060,mem_pct,68
1781695075,disk_pct,93
1781695075,mem_pct,67
1781710827,disk_pct,93
1781710827,mem_pct,67
1781713151,disk_pct,93
1781713151,mem_pct,67
1781726675,disk_pct,93
1781726675,mem_pct,68
1781728932,disk_pct,93
1781728932,mem_pct,68
1781731111,disk_pct,93
1781731111,mem_pct,68
1781733325,disk_pct,93
1781733325,mem_pct,68
1781738082,disk_pct,93
1781738082,mem_pct,68
