epoch,metric,value
1780472176,disk_pct,78
1780472176,mem_pct,86
1780482269,disk_pct,72
1780482269,mem_pct,68
1780506262,disk_pct,75
1780506262,mem_pct,82
1780571665,disk_pct,77
1780571665,mem_pct,82
1780680560,disk_pct,78
1780680560,mem_pct,79
1780682682,disk_pct,80
1780682682,mem_pct,80
1780683400,disk_pct,80
1780683400,mem_pct,79
1780696646,disk_pct,80
1780696646,mem_pct,79
1780698735,disk_pct,80
1780698735,mem_pct,79
1780702831,disk_pct,78
1780702831,mem_pct,79
1780704001,disk_pct,80
1780704001,mem_pct,85
1780713874,disk_pct,80
1780713874,mem_pct,79
1780715844,disk_pct,78
1780715844,mem_pct,79
